x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
0,1,0,0,4,7,0,0,5,0,7,40,15,94,0,0,4,28,97,0,0,0,1,0,40,18,77,83,74,0
,,,,,,,,,,,,,1,,,,3,5,,,,,,,1,,1,1,
,,,,,,,,1,,,5,,1,,,,,5,,,,,,,,1,1,,
,,,,,,,,,,,,,1,,,,,5,,,,,,1,,1,1,1,
,,,,,1,,,,,,,,1,,,,,5,,,,,,,,1,1,1,
,,,,,,,,,,,5,,1,,,,,5,,,,,,1,,,1,1,
,,,,,1,,,,,,,,1,,,,,5,,,,,,,,1,1,1,
,,,,,1,,,,,,,,1,,,,3,5,,,,,,,,1,1,,
,,,,,,,,,,,,,1,,,,3,5,,,,,2,,,,1,1,
,,,,,,,,,,,5,,1,,,,,5,,,,,,,,1,1,1,
,,,,,,,,,,,5,,1,,,,,5,,,,,,,,1,1,1,
,,,,,,,,,,,,,1,,,,,5,,,,,,1,,1,1,1,
,,,,,,,,,,,,,1,,,,,5,,,,,,,1,1,1,1,
,,,,,,,,,,,,,1,,,,,5,,,,,,1,,1,1,1,
,,,,,,,,,,,,,1,,,,,5,,,,,,1,,1,1,1,
,,,,,,,,,,,,,1,,,,3,5,,,,,,1,,,1,1,
,,,,,,,,,,1,,1,,,,,,5,,,,,,,,1,1,1,
,,,,2,,,,,,,,,1,,,,,5,,,,,,1,,,1,1,
,,,,,,,,,,,,,1,,,2,3,5,,,,,,,,1,,1,
,,,,,,,,,,,5,,1,,,,,5,,,,,,,,1,1,1,
,,,,,,,,,,,5,,1,,,,,5,,,,,,1,,1,1,,
,,,,,,,,,,1,,1,1,,,,,5,,,,,,,,1,1,,
,,,,,,,,1,,,,,1,,,,,5,,,,,2,,,1,,1,
,,,,,,,,,,,5,,1,,,,,5,,,,,,,,1,1,1,
,,,,,1,,,,,,5,,1,,,,,5,,,,,,,,,1,1,
,,,,,,,,,,,,,1,,,,,5,,,,,,1,1,,1,1,
,,,,,,,,,,,,1,1,,,,,5,,,,,,,,1,1,1,
,,,,2,,,,,,,,,1,,,,,5,,,,,,,,1,1,1,
,,,,,,,,,,,,,1,,,,3,5,,,,,,1,1,,1,,
,,,,,,,,,,,,,1,,,2,,5,,,,,,,,1,1,1,
,,,,,,,,,,,,,1,,,,,5,,,,,,1,,1,1,1,
,,,,,,,,,,,,1,1,,,,,5,,,,,,1,1,1,,,
,,,,,,,,,,,5,,1,,,,,5,,,,,,1,1,,,1,
,3,,,,,,,,,,,,1,,,,,5,,,,,,1,,,1,1,
,,,,,,,,,,,,,1,,,,3,5,,,,,,1,,1,1,,
,,,,,,,,,,,,,1,,,,3,5,,,,,,,1,1,1,,
,,,,,,,,,,,,,1,,,,3,5,,,,,,1,,,1,1,
,,,,,,,,,,,5,1,1,,,,,5,,,,,,,1,,1,,
,,,,,,,,,,,,,1,,,,3,5,,,,,,,1,1,,1,
,,,,,,,,,,,,,1,,,,,5,,,,,,1,,1,1,1,
,,,,,,,,,,,,,1,,,,,5,,,,,,1,,1,1,1,
,,,,2,,,,,,,,,1,,,,,5,,,,,,,,1,1,1,
,,,,,,,,,,,5,1,,,,,3,5,,,,,,,,1,1,,
,,,,,,,,,,,,1,1,,,,,5,,,,,,,,1,1,1,
,,,,,,,,,,,,,1,,,,,5,,,,,,1,,1,1,1,
,,,,,,,,,,,,,1,,,,,5,,,,,,,1,1,1,1,
,,,,,,,,,,,,,1,,,,,5,,,,,,1,,1,1,1,
,,,,,,,,1,,,5,,1,,,,,5,,,,,,,,,1,1,
,,,,,,,,,,,5,,1,,,,3,,,,,,,1,,1,1,,
,,,,,,,,,,,5,,1,,,,,5,,,,,,1,,1,1,,
,,,,,,,,,,,5,,1,,,,,5,,,,,,1,,,1,1,
,,,,,,,,1,,,,,1,,,,,5,,,,,,1,,,1,1,
,,,,,,,,,,,5,,1,,,,,5,,,,,,,,1,1,1,
,,,,,,,,,,,,1,1,,,,3,,,,,,,,1,,1,1,
,,,,,,,,,,,5,1,,,,,3,5,,,,,,,,1,1,,
,,,,,,,,,,,,,1,,,,,5,,,,,,1,,1,1,1,
,,,,,,,,,,,,,1,,,,,5,,,,,,1,1,1,,1,
,,,,,,,,,,,5,,1,,,,,5,,,,,,1,,1,1,,
,,,,,,,,,,,,,1,,,,3,5,,,,,,1,,,1,1,
,,,,,,,,,,,,,1,,,2,,5,,,,2,,,,1,1,,
,,,,,,,,,,,5,,1,,,,3,5,,,,,,,,1,1,,
,,,,,,,,,,,5,,1,,,,,5,,,,,,1,,1,1,,
,,,,,,,,,,,,,1,,,2,,5,,,,,,1,,,1,1,
,,,,,,,,,,,5,,1,,,,,5,,,,,,,,1,1,1,
,,,,2,,,,,,,,1,1,,,,,5,,,,,,,,1,,1,
,,,,,1,,,,,,5,,1,,,,,5,,,,,,,,1,,1,
,,,,,,,,,,,,,1,,,,3,5,,,,,,,1,1,,1,
,,,,,,,,,,,5,,1,,,,,5,,,,,,,1,1,,1,
,,,,,,,,,,1,,,1,,,,,5,,,,,2,,,1,,1,
,,,,,,,,,,,,,1,,,,3,5,,,,,,,1,1,,1,
,,,,,,,,,,1,,,1,,,,,5,,,,,,,,1,1,1,
,,,,,,,,,,,5,,1,,,,,5,,,,,,,,1,1,1,
,,,,,,,,,,,5,1,1,,,,,5,,,,,,,,1,,1,
,,,,,,,,,,,5,,1,,,,,5,,,,,,1,,1,1,,
,,,,,,,,,,,,,1,,,,,5,,,,,2,1,,,1,1,
,,,,,,,,,,,5,,1,,,,3,5,,,,,,1,,,1,,
,,,,,,,,,,1,,,1,,,,,5,,,,,,,,1,1,1,
,,,,,,,,,,,5,,1,,,,3,5,,,,,,,,1,1,,
,,,,,,,,,,,,,1,,,,3,5,,,,,,,,1,1,1,
,,,,,,,,,,,5,,1,,,,,5,,,,,,,,1,1,1,
,,,,,,,,,,,5,,1,,,,3,,,,,,,,,1,1,1,
,,,,,1,,,,,,,,1,,,,,5,,,,,,1,,1,,1,
,,,,,,,,,,1,,1,,,,,,5,,,,,2,,,1,,1,
,,,,,,,,,,,5,,1,,,,,5,,,,,,1,,,1,1,
,,,,,,,,,,,5,,1,,,,,5,,,,,,1,,1,1,,
,,,,,,,,,,,,,1,,,,,5,,,,,,,1,1,1,1,
,,,,,,,,,,,,1,1,,,,,5,,,,,,,,1,1,1,
,,,,,,,,,,,5,,1,,,,3,5,,,,,,,,1,1,,
,,,,,1,,,,,1,5,,,,,,,5,,,,,,,,1,1,,
,,,,,,,,,,,5,,1,,,,,5,,,,,,,,1,1,1,
,,,,,,,,,,,,,1,,,,3,5,,,,,,,,1,1,1,
,,,,,,,,,,,,,1,,,,3,5,,,,,,,,1,1,1,
,,,,,,,,1,,,5,1,,,,,,5,,,,,,,,,1,1,
,,,,,,,,,,,,,1,,,,3,5,,,,,,,1,1,1,,
,,,,,,,,,,,5,,1,,,,,5,,,,,,1,,,1,1,
,,,,,,,,,,,5,,1,,,,,5,,,,,,,,1,1,1,
,,,,,,,,,,,,,1,,,,3,5,,,,,,1,,1,,1,
,,,,,,,,,,,,,1,,,,3,5,,,,,,1,,1,1,,
,,,,,,,,,,,5,,1,,,,,5,,,,,,,1,1,,1,
,,,,,,,,,,,5,1,1,,,,,5,,,,,,,,1,1,,
,,,,,,,,,,,,,1,,,,,5,,,,,,1,,1,1,1,
